showRange,movieNm,movieCd,rank,movieId
20191111~20191117,블랙머니,20195002,1,1
20191111~20191117,신의 한 수: 귀수편,20181434,2,2
20191111~20191117,82년생 김지영,20191029,3,3
20191111~20191117,터미네이터: 다크 페이트,20192083,4,4
20191111~20191117,엔젤 해즈 폴른,20197721,5,5
20191111~20191117,아담스 패밀리,20197279,6,6
20191111~20191117,좀비랜드: 더블 탭,20198421,7,7
20191111~20191117,날씨의 아이,20190280,8,8
20191111~20191117,윤희에게,20196284,9,9
20191111~20191117,조커,20199950,10,10
20191104~20191110,신의 한 수: 귀수편,20181434,1,2
20191104~20191110,터미네이터: 다크 페이트,20192083,2,4
20191104~20191110,82년생 김지영,20191029,3,3
20191104~20191110,아담스 패밀리,20197279,4,6
20191104~20191110,날씨의 아이,20190280,5,8
20191104~20191110,말레피센트 2,20191589,6,11
20191104~20191110,조커,20199950,7,10
20191104~20191110,닥터 슬립,20193801,8,12
20191104~20191110,가장 보통의 연애,20195920,9,13
20191104~20191110,블랙머니,20195002,10,1
20191028~20191103,82년생 김지영,20191029,1,3
20191028~20191103,터미네이터: 다크 페이트,20192083,2,4
20191028~20191103,날씨의 아이,20190280,3,8
20191028~20191103,말레피센트 2,20191589,4,11
20191028~20191103,조커,20199950,5,10
20191028~20191103,가장 보통의 연애,20195920,6,13
20191028~20191103,빅 위시,20192589,7,14
20191028~20191103,람보 : 라스트 워,20196136,8,15
20191028~20191103,블랙머니,20195002,9,1
20191028~20191103,빅 2: 황금열쇠 대소동,20198184,10,16
20191021~20191027,82년생 김지영,20191029,1,3
20191021~20191027,말레피센트 2,20191589,2,11
20191021~20191027,조커,20199950,3,10
20191021~20191027,가장 보통의 연애,20195920,4,13
20191021~20191027,람보 : 라스트 워,20196136,5,15
20191021~20191027,퍼펙트맨,20184483,6,17
20191021~20191027,두번할까요,20185361,7,18
20191021~20191027,빅트립: 아기팬더 배달 대모험,20197054,8,19
20191021~20191027,더 킹: 헨리 5세,20198961,9,20
20191021~20191027,터미네이터2 3D,19910247,10,21
20191014~20191020,조커,20199950,1,10
20191014~20191020,말레피센트 2,20191589,2,11
20191014~20191020,가장 보통의 연애,20195920,3,13
20191014~20191020,퍼펙트맨,20184483,4,17
20191014~20191020,두번할까요,20185361,5,18
20191014~20191020,제미니 맨,20191183,6,22
20191014~20191020,너를 만난 여름,20194223,7,23
20191014~20191020,장사리 : 잊혀진 영웅들,20193601,8,24
20191014~20191020,버티고,20183407,9,25
20191014~20191020,날씨의 아이,20190280,10,8
20191007~20191013,조커,20199950,1,10
20191007~20191013,가장 보통의 연애,20195920,2,13
20191007~20191013,퍼펙트맨,20184483,3,17
20191007~20191013,제미니 맨,20191183,4,22
20191007~20191013,장사리 : 잊혀진 영웅들,20193601,5,24
20191007~20191013,몬스터 하우스,20196380,6,26
20191007~20191013,소피와 드래곤: 마법책의 비밀,20195941,7,27
20191007~20191013,잃어버린 세계를 찾아서,20197691,8,28
20191007~20191013,판소리 복서,20184243,9,29
20191007~20191013,원스 어폰 어 타임... 인 할리우드,20199446,10,30
20190930~20191006,조커,20199950,1,10
20190930~20191006,가장 보통의 연애,20195920,2,13
20190930~20191006,퍼펙트맨,20184483,3,17
20190930~20191006,장사리 : 잊혀진 영웅들,20193601,4,24
20190930~20191006,양자물리학,20194456,5,31
20190930~20191006,나쁜 녀석들: 더 무비,20188750,6,32
20190930~20191006,소피와 드래곤: 마법책의 비밀,20195941,7,27
20190930~20191006,원스 어폰 어 타임... 인 할리우드,20199446,8,30
20190930~20191006,몬스터 하우스,20196380,9,26
20190930~20191006,애드 아스트라,20192982,10,33
20190923~20190929,장사리 : 잊혀진 영웅들,20193601,1,24
20190923~20190929,나쁜 녀석들: 더 무비,20188750,2,32
20190923~20190929,양자물리학,20194456,3,31
20190923~20190929,원스 어폰 어 타임... 인 할리우드,20199446,4,30
20190923~20190929,애드 아스트라,20192982,5,33
20190923~20190929,타짜: 원 아이드 잭,20184572,6,34
20190923~20190929,예스터데이,20193807,7,35
20190923~20190929,퍼펙트맨,20184483,8,17
20190923~20190929,"힘을 내요, 미스터 리",20187322,9,36
20190923~20190929,더 룸,20195968,10,37
20190916~20190922,나쁜 녀석들: 더 무비,20188750,1,32
20190916~20190922,타짜: 원 아이드 잭,20184572,2,34
20190916~20190922,애드 아스트라,20192982,3,33
