showRange,movieNm,rank,movieCd,openDt,audiAcc
20191111~20191117,블랙머니,1,20195002,2019-11-13,1050331
20191111~20191117,신의 한 수: 귀수편,2,20181434,2019-11-07,1838583
20191111~20191117,82년생 김지영,3,20191029,2019-10-23,3491860
20191111~20191117,터미네이터: 다크 페이트,4,20192083,2019-10-30,2310267
20191111~20191117,엔젤 해즈 폴른,5,20197721,2019-11-13,126377
20191111~20191117,아담스 패밀리,6,20197279,2019-11-07,319305
20191111~20191117,좀비랜드: 더블 탭,7,20198421,2019-11-13,104508
20191111~20191117,날씨의 아이,8,20190280,2019-10-30,612012
20191111~20191117,윤희에게,9,20196284,2019-11-14,34608
20191111~20191117,조커,10,20199950,2019-10-02,5239867
20191104~20191110,신의 한 수: 귀수편,1,20181434,2019-11-07,1070972
20191104~20191110,터미네이터: 다크 페이트,2,20192083,2019-10-30,2060361
20191104~20191110,82년생 김지영,3,20191029,2019-10-23,3174028
20191104~20191110,아담스 패밀리,4,20197279,2019-11-07,209769
20191104~20191110,날씨의 아이,5,20190280,2019-10-30,520369
20191104~20191110,말레피센트 2,6,20191589,2019-10-17,1432023
20191104~20191110,조커,7,20199950,2019-10-02,5223196
20191104~20191110,닥터 슬립,8,20193801,2019-11-07,46343
20191104~20191110,가장 보통의 연애,9,20195920,2019-10-02,2918537
20191104~20191110,블랙머니,10,20195002,2019-11-13,32690
20191028~20191103,82년생 김지영,1,20191029,2019-10-23,2498960
20191028~20191103,터미네이터: 다크 페이트,2,20192083,2019-10-30,1366824
20191028~20191103,날씨의 아이,3,20190280,2019-10-30,337152
20191028~20191103,말레피센트 2,4,20191589,2019-10-17,1364888
20191028~20191103,조커,5,20199950,2019-10-02,5164444
20191028~20191103,가장 보통의 연애,6,20195920,2019-10-02,2885661
20191028~20191103,빅 위시,7,20192589,2019-10-30,28884
20191028~20191103,람보 : 라스트 워,8,20196136,2019-10-23,92238
20191028~20191103,블랙머니,9,20195002,2019-11-13,13986
20191028~20191103,빅 2: 황금열쇠 대소동,10,20198184,2019-10-30,11152
20191021~20191027,82년생 김지영,1,20191029,2019-10-23,1119908
20191021~20191027,말레피센트 2,2,20191589,2019-10-17,1125565
20191021~20191027,조커,3,20199950,2019-10-02,4960154
20191021~20191027,가장 보통의 연애,4,20195920,2019-10-02,2793362
20191021~20191027,람보 : 라스트 워,5,20196136,2019-10-23,72265
20191021~20191027,퍼펙트맨,6,20184483,2019-10-02,1224921
20191021~20191027,두번할까요,7,20185361,2019-10-17,169448
20191021~20191027,빅트립: 아기팬더 배달 대모험,8,20197054,2019-10-23,32728
20191021~20191027,더 킹: 헨리 5세,9,20198961,2019-10-23,10727
20191021~20191027,터미네이터2 3D,10,19910247,1991-07-06,11743
20191014~20191020,조커,1,20199950,2019-10-02,4548653
20191014~20191020,말레피센트 2,2,20191589,2019-10-17,611440
20191014~20191020,가장 보통의 연애,3,20195920,2019-10-02,2543784
20191014~20191020,퍼펙트맨,4,20184483,2019-10-02,1182313
20191014~20191020,두번할까요,5,20185361,2019-10-17,136264
20191014~20191020,제미니 맨,6,20191183,2019-10-09,375620
20191014~20191020,너를 만난 여름,7,20194223,2019-10-16,19205
20191014~20191020,장사리 : 잊혀진 영웅들,8,20193601,2019-09-25,1125481
20191014~20191020,버티고,9,20183407,2019-10-16,11161
20191014~20191020,날씨의 아이,10,20190280,2019-10-30,10363
20191007~20191013,조커,1,20199950,2019-10-02,3847424
20191007~20191013,가장 보통의 연애,2,20195920,2019-10-02,2046856
20191007~20191013,퍼펙트맨,3,20184483,2019-10-02,1033555
20191007~20191013,제미니 맨,4,20191183,2019-10-09,302135
20191007~20191013,장사리 : 잊혀진 영웅들,5,20193601,2019-09-25,1110465
20191007~20191013,몬스터 하우스,6,20196380,2019-10-03,58604
20191007~20191013,소피와 드래곤: 마법책의 비밀,7,20195941,2019-10-02,90886
20191007~20191013,잃어버린 세계를 찾아서,8,20197691,2019-10-09,17510
20191007~20191013,판소리 복서,9,20184243,2019-10-09,16827
20191007~20191013,원스 어폰 어 타임... 인 할리우드,10,20199446,2019-09-25,270172
20190930~20191006,조커,1,20199950,2019-10-02,2199816
20190930~20191006,가장 보통의 연애,2,20195920,2019-10-02,1064468
20190930~20191006,퍼펙트맨,3,20184483,2019-10-02,664291
20190930~20191006,장사리 : 잊혀진 영웅들,4,20193601,2019-09-25,1038106
20190930~20191006,양자물리학,5,20194456,2019-09-25,542651
20190930~20191006,나쁜 녀석들: 더 무비,6,20188750,2019-09-11,4556694
20190930~20191006,소피와 드래곤: 마법책의 비밀,7,20195941,2019-10-02,70420
20190930~20191006,원스 어폰 어 타임... 인 할리우드,8,20199446,2019-09-25,258139
20190930~20191006,몬스터 하우스,9,20196380,2019-10-03,37998
20190930~20191006,애드 아스트라,10,20192982,2019-09-19,508767
20190923~20190929,장사리 : 잊혀진 영웅들,1,20193601,2019-09-25,689707
20190923~20190929,나쁜 녀석들: 더 무비,2,20188750,2019-09-11,4442227
20190923~20190929,양자물리학,3,20194456,2019-09-25,387601
20190923~20190929,원스 어폰 어 타임... 인 할리우드,4,20199446,2019-09-25,197002
20190923~20190929,애드 아스트라,5,20192982,2019-09-19,487511
20190923~20190929,타짜: 원 아이드 잭,6,20184572,2019-09-11,2212819
20190923~20190929,예스터데이,7,20193807,2019-09-18,292246
20190923~20190929,퍼펙트맨,8,20184483,2019-10-02,90087
20190923~20190929,"힘을 내요, 미스터 리",9,20187322,2019-09-11,1166190
20190923~20190929,더 룸,10,20195968,2019-09-25,44682
20190916~20190922,나쁜 녀석들: 더 무비,1,20188750,2019-09-11,3906771
20190916~20190922,타짜: 원 아이드 잭,2,20184572,2019-09-11,2111602
