showRange,rank,movieNm
2019111120191117,1,1
2019111120191117,2,2
2019111120191117,3,3
2019111120191117,4,4
2019111120191117,5,5
2019111120191117,6,6
2019111120191117,7,7
2019111120191117,8,8
2019111120191117,9,9
2019111120191117,10,10
2019110420191110,1,2
2019110420191110,2,4
2019110420191110,3,3
2019110420191110,4,6
2019110420191110,5,8
2019110420191110,6,11
2019110420191110,7,10
2019110420191110,8,12
2019110420191110,9,13
2019110420191110,10,1
2019102820191103,1,3
2019102820191103,2,4
2019102820191103,3,8
2019102820191103,4,11
2019102820191103,5,10
2019102820191103,6,13
2019102820191103,7,14
2019102820191103,8,15
2019102820191103,9,1
2019102820191103,10,16
2019102120191027,1,3
2019102120191027,2,11
2019102120191027,3,10
2019102120191027,4,13
2019102120191027,5,15
2019102120191027,6,17
2019102120191027,7,18
2019102120191027,8,19
2019102120191027,9,20
2019102120191027,10,21
2019101420191020,1,10
2019101420191020,2,11
2019101420191020,3,13
2019101420191020,4,17
2019101420191020,5,18
2019101420191020,6,22
2019101420191020,7,23
2019101420191020,8,24
2019101420191020,9,25
2019101420191020,10,8
2019100720191013,1,10
2019100720191013,2,13
2019100720191013,3,17
2019100720191013,4,22
2019100720191013,5,24
2019100720191013,6,26
2019100720191013,7,27
2019100720191013,8,28
2019100720191013,9,29
2019100720191013,10,30
2019093020191006,1,10
2019093020191006,2,13
2019093020191006,3,17
2019093020191006,4,24
2019093020191006,5,31
2019093020191006,6,32
2019093020191006,7,27
2019093020191006,8,30
2019093020191006,9,26
2019093020191006,10,33
2019092320190929,1,24
2019092320190929,2,32
2019092320190929,3,31
2019092320190929,4,30
2019092320190929,5,33
2019092320190929,6,34
2019092320190929,7,35
2019092320190929,8,17
2019092320190929,9,36
2019092320190929,10,37
2019091620190922,1,32
2019091620190922,2,34
2019091620190922,3,33
2019091620190922,4,36
2019091620190922,5,35
2019091620190922,6,38
2019091620190922,7,17
2019091620190922,8,39
2019091620190922,9,40
2019091620190922,10,41
2019090920190915,1,32
2019090920190915,2,34
2019090920190915,3,36
2019090920190915,4,38
2019090920190915,5,40
2019090920190915,6,39
2019090920190915,7,42
2019090920190915,8,43
2019090920190915,9,44
2019090920190915,10,45
2019090220190908,1,42
2019090220190908,2,39
2019090220190908,3,38
2019090220190908,4,40
2019090220190908,5,45
2019090220190908,6,44
2019090220190908,7,46
2019090220190908,8,47
2019090220190908,9,48
2019090220190908,10,49
2019082620190901,1,45
2019082620190901,2,42
2019082620190901,3,40
2019082620190901,4,44
2019082620190901,5,46
2019082620190901,6,47
2019082620190901,7,49
2019082620190901,8,50
2019082620190901,9,51
2019082620190901,10,52
2019081920190825,1,44
2019081920190825,2,40
2019081920190825,3,45
2019081920190825,4,47
2019081920190825,5,49
2019081920190825,6,51
2019081920190825,7,53
2019081920190825,8,54
2019081920190825,9,55
2019081920190825,10,52
2019081220190818,1,44
2019081220190818,2,47
2019081220190818,3,40
2019081220190818,4,53
2019081220190818,5,54
2019081220190818,6,56
2019081220190818,7,57
2019081220190818,8,58
2019081220190818,9,52
2019081220190818,10,59
2019080520190811,1,40
2019080520190811,2,47
2019080520190811,3,57
2019080520190811,4,54
2019080520190811,5,60
2019080520190811,6,59
2019080520190811,7,61
2019080520190811,8,52
2019080520190811,9,62
2019080520190811,10,63
2019072920190804,1,40
2019072920190804,2,57
2019072920190804,3,61
2019072920190804,4,54
2019072920190804,5,59
2019072920190804,6,52
2019072920190804,7,64
2019072920190804,8,65
2019072920190804,9,66
2019072920190804,10,67
2019072220190728,1,61
2019072220190728,2,64
2019072220190728,3,59
2019072220190728,4,65
2019072220190728,5,52
2019072220190728,6,66
2019072220190728,7,67
2019072220190728,8,68
2019072220190728,9,69
2019072220190728,10,57
2019071520190721,1,61
2019071520190721,2,65
2019071520190721,3,59
2019071520190721,4,68
2019071520190721,5,69
2019071520190721,6,70
2019071520190721,7,71
2019071520190721,8,72
2019071520190721,9,73
2019071520190721,10,74
2019070820190714,1,65
2019070820190714,2,59
2019070820190714,3,68
2019070820190714,4,70
2019070820190714,5,69
2019070820190714,6,71
2019070820190714,7,73
2019070820190714,8,75
2019070820190714,9,76
2019070820190714,10,74
2019070120190707,1,65
2019070120190707,2,59
2019070120190707,3,68
2019070120190707,4,69
2019070120190707,5,76
2019070120190707,6,75
2019070120190707,7,77
2019070120190707,8,78
2019070120190707,9,79
